"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
p2_s7_q14,initial_survey,,radio,"Barks persistently when alarmed or excited.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p3_h,initial_survey,"<h1>PART 2: Attitudes To Training Score</h1>",descriptive,"Recently there has been much debate about the most appropriate ways to train dogs. By answering the following questions, in conjunction with the C-BARQ42, we hope you will be able to help us resolve this debate once and for all. Please take your time and be as accurate as possible with your answers.",,,,,,,,,,,,,
p3_s1_q1,initial_survey,,radio,"Would you regard yourself as a person who uses positive methods (reward and praise) to train your dog?","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p3_s1_q2,initial_survey,,radio,"How often do you attempt to stare your dog down?","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p3_s1_q3,initial_survey,,radio,"How often do you pin your dog on his back as a punishment (""alpha roll"")?","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p3_s1_q4,initial_survey,,radio,"How often do you hit or kick your dog?","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p3_s1_q5,initial_survey,,radio,"How often do you physically force an item from your dog's mouth?","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p3_s1_q6,initial_survey,,radio,"How often do you physically force your dog to obey a command by pressuring him into, say, a ""down"" position.","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p3_s1_q7,initial_survey,,radio,"How often do you yell at your dog when you are upset with him?","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p3_s1_q8,initial_survey,,radio,"How often do you use a choke collar, prong collar or shock collar to train your dog?","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p3_s1_q9,initial_survey,,radio,"How often do you knee your dog in the chest or step on his/her toes to prevent jumping up?","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p3_s1_q10,initial_survey,,radio,"How often do you throw anything at your dog, spray him with something, or use a loud sound (shake can or air horn) to prevent him for doing something?","1, Never | 2, 2 | 3, 3 | 4, Sometimes | 5, 5 | 6, 6 | 7, Always",,,,,,,,,,attitude,,
p4_h,initial_survey,"<h1>PART 3: Ten Item Personality Inventory (Required)</h1> ",descriptive,"Dogs are believed to be sensitive to their owners' personalities, and may alter their behavior accordingly. The TIPI questions below, taken in conjunction with the C-BARQ42, will help us identify how much our personality may influence our dog's behavior. Understanding this connection better will enable us to suggest ways that owners can optimize their interactions with their dogs to achieve a more rewarding relationship.
",,,,,,,,,,,,,
p4_s1_q1,initial_survey,,radio,"Extraverted, enthusiastic","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p4_s1_q2,initial_survey,,radio,"Critical, quarrelsome","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p4_s1_q3,initial_survey,,radio,"Dependable, self-disciplined","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p4_s1_q4,initial_survey,,radio,"Anxious, easily upset","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p4_s1_q5,initial_survey,,radio,"Open to new experiences, complex","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p4_s1_q6,initial_survey,,radio,"Reserved, quiet","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p4_s1_q7,initial_survey,,radio,"Sympathetic, warm","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p4_s1_q8,initial_survey,,radio,"Disorganized, careless","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p4_s1_q9,initial_survey,,radio,"Calm, emotionally stable","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p4_s1_q10,initial_survey,,radio,"Conventional, uncreative","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7,  Agree strongly",,,,,,,y,,,tipi,,
p5_h,initial_survey,"<h1>PART 4: Emotion Regulation Questionnaire (Required)</h1>",descriptive,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale: 
",,,,,,,,,,,,,
p5_s1_q1,initial_survey,,radio,"When I want to feel more positive emotion (such as joy or amusement), I change what I'm thinking about.","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p5_s1_q2,initial_survey,,radio,"I keep my emotions to my self.","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p5_s1_q3,initial_survey,,radio,"When I want to feel less negative emotion (such as sadness or anger), I change what I'm thinking about.","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p5_s1_q4,initial_survey,,radio,"When I am feeling positive emotions, I am careful not to express them.","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p5_s1_q5,initial_survey,,radio,"When I'm faced with a stressful situation, I make myself think about it in a way that helps me stay calm","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p5_s1_q6,initial_survey,,radio,"I control my emotions by not expressing them.","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p5_s1_q7,initial_survey,,radio,"When I want to feel more positive emotions, I change the way I'm thinking about the situation.","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p5_s1_q8,initial_survey,,radio,"I control my emotion by changing the way I think about the situation I'm in.","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p5_s1_q9,initial_survey,,radio,"When I am feeling negative emotions, I make sure not to express them.","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p5_s1_q10,initial_survey,,radio,"When I want to feel less negative emotion, I change the way I'm thinking about the situation.","1, Disagree strongly | 2, Disagree moderately | 3, Disagree a little | 4, Neither agree nor disagree | 5, Agree a little | 6, Agree moderately | 7, Agree strongly",,,,,,,y,,,erq,,
p6_h,initial_survey,"<h1>PART 5: Beck's Depression Inventory</h1>",descriptive,"We all know that dogs pick up on our moods. But what impact, if any, does this have on their long-term wellbeing? Could our low mood states transfer to our dogs and make them sad, too? Or are they relatively immune to absorbing the negative emotions to which they are sometimes inadvertently exposed? It is with great respect and in absolute confidence that we ask you to answer the following personal questions about yourself with the goal of finding the answer to this important question.   ",,,,,,,,,,,,,
p6_s1_q1,initial_survey,,radio,"Select the best answer:","0, I do not feel sad | 1, I feel sad | 2, I am sad all the time and I can't snap out of it | 3, I am so sad and unhappy that I can't stand it",,,,,,,,,,,,
p6_s1_q2,initial_survey,,radio,"Select the best answer:","0, I am not particularly discouraged about the future | 1, I feel discouraged about the future | 2, I feel I have nothing to look forward to | 3, I feel the future is hopeless and that things cannot improve",,,,,,,,,,,,
p6_s1_q3,initial_survey,,radio,"Select the best answer:","0, I do not feel like a failure | 1, I feel I have failed more than the average person | 2, As I look back on my life, all I can see is a lot of failures | 3, I feel I am a complete failure as a person",,,,,,,,,,,,
p6_s1_q4,initial_survey,,radio,"Select the best answer:","0, I get as much satisfaction out of things as I used to | 1, I don't enjoy things the way I used to | 2, I don't get real satisfaction out of anything anymore | 3, I am dissatisfied or bored with everything",,,,,,,,,,,,
p6_s1_q5,initial_survey,,radio,"Select the best answer:","0, I don't feel particularly guilty | 1, I feel guilty a good part of the time | 2, I feel quite guilty most of the time | 3, I feel guilty all of the time",,,,,,,,,,,,
p6_s1_q6,initial_survey,,radio,"Select the best answer:","0, I don't feel I am being punished | 1, I feel I may be punished | 2, I expect to be punished | 3, I feel I am being punished",,,,,,,,,,,,
p6_s1_q7,initial_survey,,radio,"Select the best answer:","0, I don't feel dissapointed in myself | 1, I am disappointed in myself | 2, I am disgusted with myself | 3, I hate myself",,,,,,,,,,,,
p6_s1_q8,initial_survey,,radio,"Select the best answer:","0, I don't feel I am any worse than anybody else | 1, I am critical of myself for my weaknesses or mistakes | 2, I blame myself all the time for my faults | 3, I blame myself for everything bad that happens",,,,,,,,,,,,
p6_s1_q9,initial_survey,,radio,"Select the best answer:","0, I don't have any thoughts of killing myself | 1, I have thoughts of killing myself, but I wouldn't carry them out | 2, I would like to kill myself | 3, I would kill myself if I had the chance",,,,,,,,,,,,
p6_s1_q10,initial_survey,,radio,"Select the best answer:","0, I don't cry any more than usual | 1, I cry more now than I used to | 2, I cry all the time now | 3, I used to be able to cry, but now I can't cry even though I want to",,,,,,,,,,,,
p6_s1_q11,initial_survey,,radio,"Select the best answer:","0, I am no more irritated by things than I ever was | 1, I am slightly more irritated now than usual | 2, I am quite annoyed or irraitated agood deal of the time | 3, I feel irritated all the time",,,,,,,,,,,,
p6_s1_q12,initial_survey,,radio,"Select the best answer:","0, I have not lost interest in other people | 1, I am less interested in other people than I used to be | 2, I have lost most of my interest in other people | 3, I have lost all of my interest in other people",,,,,,,,,,,,
p6_s1_q13,initial_survey,,radio,"Select the best answer:","0, I make decisions about as well as I ever could | 1, I put off making decisions more than I used to | 2, I have greater difficulty in making decisions more than I used to | 3, I can't make decisions at all anymore",,,,,,,,,,,,
p6_s1_q14,initial_survey,,radio,"Select the best answer:","0, I don't feel that I look any worse than I used to | 1, I am worried that I am looking old or unattractive | 2, I feel there are permanent changes in my appearance that make me look unattractive | 3, I believe that I look ugly",,,,,,,,,,,,
p6_s1_q15,initial_survey,,radio,"Select the best answer:","0, I can work about as well as before | 1, It takes an extra effort to get started at doing something | 2, I have to push myself very hard to do anything | 3, I can't do any work at all",,,,,,,,,,,,
p6_s1_q16,initial_survey,,radio,"Select the best answer:","0, I can sleep as well as usual | 1, I don't sleep as well as I used to | 2, I wake up 1-2 hours earlier than usual and find it hard to get back to sleep | 3, I wake up several hours earlier than I used to and cannot get back to sleep",,,,,,,,,,,,
p6_s1_q17,initial_survey,,radio,"Select the best answer:","0, I don't get more tired than usual | 1, I get tired more easily than I used to | 2, I get tired from doing almost anything | 3, I am too tired to do anything",,,,,,,,,,,,
p6_s1_q18,initial_survey,,radio,"Select the best answer:","0, My appetite is no worse than usual | 1, My appetite is not as good as it used to be | 2, My appetite is much worse now | 3, I have no appetite at all anymore",,,,,,,,,,,,
p6_s1_q19,initial_survey,,radio,"Select the best answer:","0, I haven't lost much weight, if any, lately | 1, I have lost more than five pounds | 2, I have lost more than ten pounds | 3, I have lost more than fifteen pounds",,,,,,,,,,,,
p6_s1_q20,initial_survey,,radio,"Select the best answer:","0, I am no more worried about my health than usual | 1, I am worried about physical problems like aches, pains, upset stomach, or constipation | 2, I am very worried about physical problems and it's hard to think of much else | 3, I am so worried about my physical problems that I cannot think of anything else",,,,,,,,,,,,
p6_s1_q21,initial_survey,,radio,"Select the best answer:","0, I have not noticed any recent changes in my interest in sex | 1, I am less interested in sex than I used to be | 2, I have almost no interest in sex | 3, I have lost interest in sex completely",,,,,,,,,,,,
